tipoAss;numeroDoContrato;tipoDeContrato;codigoDaPessoa;codigoDaPessoaVendedor;codigoTipoAssinatura;dataDeValidadeInicial;dataDevalidadeFinal;qtdJornaisContrato;numeroDeExemplares;numeroDeExemplaresEntregues;numeroDeExemplaresPagos;valorTotal;valorDoDescontoConcedido;quantidadeDeParcelasDoContrato;precoMedioB30;valorTipoDaAssinatura;codigoDoPlanoDePagamento;codigoDaCondicaoDePagamento;codigoDoProdutoServico;descricaoDoProdutoServico;descricaoTipoDeAssinatura;quantidadeDeDias;quantidadeDeExemplares;descricaoDoPlanoDePagamento;nomeDoMunicipio;mesRenovou;mesRenovara;precoFaixa;modalidade;cidadeEntrega;idRenovacaoAutomatica;latitude;longitude;codigoDoMunicipio;codigoDoSetorDeEntrega;nomeDoBairro;sexo;Tipo;Idade;Tempo;Status;codigoDaPessoa
Impressa;548145;R;74815;1;5;28/03/2023 00:00;09/04/2024 00:00;1;261;257;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,846122;-49,403197;9659;65;Jardim Palmeiras;M;F;53;15;1;472
Impressa;548205;R;33148;1;5;28/03/2023 00:00;08/04/2024 00:00;1;261;258;180;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8154966;-49.3603378;9659;11;Jardim Estrela;M;F;54;16;1;480
Digital;548868;R;90896;1;10;28/03/2023 00:00;06/04/2024 00:00;1;261;263;252;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/02;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;207;Parque Industrial;M;F;54;16;1;480
Impressa;548403;R;29483;1;5;28/03/2023 00:00;08/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,812683;-49,347257;9659;55;Parque Residencial Damha;F;F;55;24;1;499
Impressa;548221;R;28292;1;5;28/03/2023 00:00;03/04/2024 00:00;1;261;260;252;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Guapiaçu;2023/02;2024/04;03 de R$ 90 a R$ 94.99;Anual;Guapiaçu;VERDADEIRO;-20.7905764;-49.2248379;9164;308;A DEFINIR;F;F;55;24;1;499
Digital;549934;I;59434;160629;10;28/03/2023 00:00;17/04/2024 00:00;1;261;256;231;154,8;48;12;12,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;Populina;2023/03;2024/04;13 Menos de R$ 45;Anual;Populina;VERDADEIRO;-19.9400819;-50.5337059;9516;366;A DEFINIR;M;F;63;24;1;503
Impressa;548204;R;27360;1;5;29/03/2023 00:00;05/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;Mirassol;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;Mirassol;VERDADEIRO;-20.8173456;-49.5210713;9366;334;A DEFINIR;M;F;77;20;1;510
Combo;549955;I;42509;1;11;29/03/2023 00:00;08/04/2024 00:00;1;156;155;143;20;0;12;1,666666667;780;239;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;General Salgado;2023/03;2024/04;13 Menos de R$ 45;Anual;General Salgado;VERDADEIRO;-20.6463688;-50.3717438;9154;307;A DEFINIR;F;F;61;16;1;526
Impressa;548072;R;8134;1;5;30/03/2023 00:00;03/04/2024 00:00;1;261;260;256;1032;0;8;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8255015;-49.3640432;9659;11;Parque Residencial Comendador Mancor Daud;M;F;52;23;1;538
Impressa;548164;R;33606;1;5;01/04/2023 00:00;10/04/2024 00:00;1;261;255;261;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,816963;-49,371918;9659;11;Vila Ercília;M;F;51;26;1;667
Impressa;548097;R;56968;1;5;01/04/2023 00:00;02/04/2024 00:00;1;261;262;135;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;51;Jardim Caparroz;F;F;78;26;1;681
Combo;549932;I;81323;160629;12;01/04/2023 00:00;05/04/2024 00:00;1;104;104;96;458,8;181,2;12;38,23333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20,870852;-49,421166;9659;22;Loteamento Parque dos Pássaros;M;F;52;20;1;690
Combo;548418;R;480;1;12;01/04/2023 00:00;05/04/2024 00:00;1;104;105;60;640;0;12;53,33333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/02;2024/04;11 de R$ 50 a R$ 54.99;Anual;São José do Rio Preto;FALSO;;;9659;43;RESIDENCIAL FRATERNIDADE;M;F;52;18;1;734
Impressa;546990;R;24745;1;5;01/04/2023 00:00;03/04/2024 00:00;1;261;257;260;1128;0;10;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Tanabi;2023/01;2024/04;03 de R$ 90 a R$ 94.99;Anual;Tanabi;VERDADEIRO;-20.6247224;-49.6535338;9715;386;A DEFINIR;M;F;52;18;1;734
Impressa;547007;R;67249;1;5;01/04/2023 00:00;06/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;Olímpia;2023/01;2024/04;04 de R$ 85 a R$ 89.99;Anual;Olímpia;VERDADEIRO;;;9425;347;A DEFINIR;M;F;86;26;1;770
Combo;549954;I;42509;1;12;01/04/2023 00:00;06/04/2024 00:00;1;104;100;77;578,8;121,2;12;48,23333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;General Salgado;2023/03;2024/04;12 de R$ 45 a R$ 49.99;Anual;General Salgado;VERDADEIRO;-20.6463688;-50.3717438;9154;307;A DEFINIR;M;F;86;26;1;770
Impressa;548987;R;41446;1;5;02/04/2023 00:00;06/04/2024 00:00;1;261;258;184;1032;0;11;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;51;Centro;M;F;74;23;1;777
Impressa;549799;R;160003;1;5;02/04/2023 00:00;02/04/2024 00:00;1;261;261;252;816;216;12;68;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;08 de R$ 65 a R$ 69.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;43;Vila Elvira;M;F;86;24;1;778
Impressa;548990;R;37188;1;5;02/04/2023 00:00;06/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8169461;-49.3585731;9659;11;Vila Dório;M;F;86;24;1;778
Impressa;549089;R;48862;1;5;02/04/2023 00:00;05/04/2024 00:00;1;261;259;192;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Olímpia;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Olímpia;FALSO;;;9425;347;JD PRIMAVERA;M;F;83;15;1;790
Impressa;549617;R;49369;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,838147;-49,346703;9659;11;Conjunto Habitacional Cristo Rei;M;F;54;19;1;817
Impressa;549829;R;4405;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;252;780;252;12;65;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;08 de R$ 65 a R$ 69.99;Anual;São José do Rio Preto;VERDADEIRO;-20,821861;-49,408378;9659;53;Jardim Maria Cândida;M;F;78;26;1;843
Digital;550068;I;182040;72996;10;04/04/2023 00:00;02/04/2024 00:00;1;261;261;252;166,8;36;12;13,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/04;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;22;Jardim Morumbi;F;F;73;24;1;870
Impressa;549756;R;170803;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;231;936;96;12;78;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;23;Vila Imperial;M;F;61;15;1;899
Impressa;549607;R;6147;1;5;04/04/2023 00:00;03/04/2024 00:00;1;261;259;258;1032;0;6;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,808833;-49,394115;9659;53;Vila Maria;M;F;60;25;1;925
Digital;549802;R;71740;1;10;04/04/2023 00:00;02/04/2024 00:00;1;261;262;252;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;FALSO;-20.8148002;-49.3852259;9659;23;Centro;M;F;60;25;1;925
Combo;548582;R;53793;1;11;04/04/2023 00:00;02/04/2024 00:00;1;156;161;145;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/02;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;FALSO;-20,821053;-49,385572;9659;23;Vila Redentora;F;F;95;26;1;951
Impressa;548432;R;7267;1;5;04/04/2023 00:00;06/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,843117;-49,353224;9659;43;Estância Jóckei Club;F;F;67;22;1;989
Impressa;549614;R;6165;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,802306;-49,391705;9659;53;Parque Industrial;M;F;56;22;1;1019
Impressa;549596;R;22208;1;5;04/04/2023 00:00;13/04/2024 00:00;1;261;254;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,800535;-49,373019;9659;51;Vila Dias;M;F;56;22;1;1019
Impressa;549618;R;9382;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,840842;-49,374784;9659;43;São Francisco;M;F;56;25;1;1064
Impressa;549823;R;160558;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;252;924;108;12;77;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;43;São Francisco;M;F;57;28;1;1082
Impressa;549013;R;24876;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,848497;-49,397472;9659;22;Jardim Vivendas;M;F;57;28;1;1082
Impressa;549094;R;33955;1;5;04/04/2023 00:00;03/04/2024 00:00;1;261;259;208;1032;0;8;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,755721;-49,357992;9659;55;Jardim Felicidade;M;F;79;26;1;1170
Impressa;549644;R;39105;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;253;1032;0;11;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,827321;-49,340364;9659;55;Morada Campestre;M;F;79;26;1;1170
Impressa;549096;R;11795;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;252;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20.7749040;-49.3365486;9659;55;Parque da Liberdade;M;F;84;26;1;1174
Impressa;549629;R;41127;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,771126;-49,331723;9659;55;Parque da Liberdade;M;F;81;26;1;1178
Impressa;548989;R;29549;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;261;1032;0;3;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,834052;-49,406696;9659;22;Jardim Tarraf;M;F;88;26;1;1201
Impressa;549070;R;10039;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;4;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8335014;-49.4064414;9659;22;Jardim Tarraf;M;F;74;26;1;1206
Impressa;549008;R;22546;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;256;1032;0;8;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8134949;-49.3858521;9659;23;Centro;F;F;75;26;1;1318
Combo;549431;R;38164;1;11;04/04/2023 00:00;02/04/2024 00:00;1;156;161;145;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;Mirassol;2023/03;2024/04;13 Menos de R$ 45;Anual;Mirassol;FALSO;-22.4136182;-47.5815527;9366;334;AEROPORTO;M;F;58;22;1;1352
Impressa;549610;R;60431;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;22;QUINTA DO GOLFE;M;F;76;25;1;1355
Impressa;549086;R;5546;1;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;252;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Uchoa;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Uchoa;VERDADEIRO;;;9758;387;PROGRESSO;M;F;114;26;1;1376
Impressa;549833;R;21994;1;5;05/04/2023 00:00;03/04/2024 00:00;1;261;259;207;1032;0;11;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,820572;-49,383479;9659;23;Centro;M;F;58;22;1;1381
Impressa;549010;R;63759;1;5;05/04/2023 00:00;03/04/2024 00:00;1;261;260;261;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,833011;-49,383758;9659;43;Parque Estoril;M;F;85;25;1;1390
Impressa;549824;R;32956;1;5;05/04/2023 00:00;03/04/2024 00:00;1;261;260;252;720;312;12;60;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;09 de R$ 60 a R$ 64.99;Anual;São José do Rio Preto;VERDADEIRO;-20,793797;-49,385533;9659;53;Vila Esplanada;M;F;58;26;1;1395
Impressa;549608;R;45187;1;5;05/04/2023 00:00;03/04/2024 00:00;1;261;259;260;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,822205;-49,408744;9659;53;Jardim Maria Cândida;M;F;58;26;1;1395
Impressa;550030;I;168690;160629;5;05/04/2023 00:00;03/04/2024 00:00;1;261;259;252;958,8;73,2;12;79,9;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;63;Solo Sagrado I;F;F;67;26;1;1445
