tipoAss;tipoDeContrato;codigoDaPessoa;codigoTipoAssinatura;dataDeValidadeInicial;dataDevalidadeFinal;qtdJornaisContrato;numeroDeExemplares;numeroDeExemplaresEntregues;numeroDeExemplaresPagos;valorTotal;valorDoDescontoConcedido;quantidadeDeParcelasDoContrato;precoMedioB30;valorTipoDaAssinatura;codigoDoPlanoDePagamento;descricaoDoProdutoServico;descricaoTipoDeAssinatura;quantidadeDeDias;quantidadeDeExemplares;descricaoDoPlanoDePagamento;nomeDoMunicipio;mesRenovou;mesRenovara;precoFaixa;modalidade;cidadeEntrega;idRenovacaoAutomatica;latitude;longitude;codigoDoMunicipio;codigoDoSetorDeEntrega;nomeDoBairro;sexo;Tipo;Idade;Tempo;Status;codigoDaPessoa
Impressa;R;182228;5;25/03/2023 00:00;09/04/2024 00:00;1;261;256;231;1032;0;12;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;;;9659;23;Jardim dos Seixas;M;F;80;24;1;426
Impressa;R;97742;5;25/03/2023 00:00;03/05/2024 00:00;1;261;241;252;948;84;12;79;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/05;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8194020;-49.3893932;9659;23;Centro;F;F;86;30;1;427
Impressa;R;54529;5;26/03/2023 00:00;16/04/2024 00:00;1;261;255;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;Mirassol;2023/01;2024/04;04 de R$ 85 a R$ 89.99;Anual;Mirassol;VERDADEIRO;-20.8118591;-49.4995994;9366;334;JARDIM MARILU;M;F;53;15;1;472
Impressa;R;74815;5;28/03/2023 00:00;09/04/2024 00:00;1;261;257;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,846122;-49,403197;9659;65;Jardim Palmeiras;M;F;53;15;1;472
Impressa;R;33148;5;28/03/2023 00:00;08/04/2024 00:00;1;261;258;180;1032;0;12;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8154966;-49.3603378;9659;11;Jardim Estrela;M;F;54;16;1;480
Digital;R;90896;10;28/03/2023 00:00;06/04/2024 00:00;1;261;263;252;202,8;0;12;16,9;1251,75;229;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/02;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;207;Parque Industrial;M;F;54;16;1;480
Impressa;R;29483;5;28/03/2023 00:00;08/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,812683;-49,347257;9659;55;Parque Residencial Damha;F;F;55;24;1;499
Impressa;R;28292;5;28/03/2023 00:00;03/04/2024 00:00;1;261;260;252;1128;0;12;94;1251,75;230;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Guapiaçu;2023/02;2024/04;03 de R$ 90 a R$ 94.99;Anual;Guapiaçu;VERDADEIRO;-20.7905764;-49.2248379;9164;308;A DEFINIR;F;F;55;24;1;499
Digital;I;59434;10;28/03/2023 00:00;17/04/2024 00:00;1;261;256;231;154,8;48;12;12,9;1251,75;229;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;Populina;2023/03;2024/04;13 Menos de R$ 45;Anual;Populina;VERDADEIRO;-19.9400819;-50.5337059;9516;366;A DEFINIR;M;F;63;24;1;503
Impressa;R;27360;5;29/03/2023 00:00;05/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;Mirassol;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;Mirassol;VERDADEIRO;-20.8173456;-49.5210713;9366;334;A DEFINIR;M;F;77;20;1;510
Combo;I;42509;11;29/03/2023 00:00;08/04/2024 00:00;1;156;155;143;20;0;12;1,666666667;780;239;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;General Salgado;2023/03;2024/04;13 Menos de R$ 45;Anual;General Salgado;VERDADEIRO;-20.6463688;-50.3717438;9154;307;A DEFINIR;F;F;61;16;1;526
Impressa;R;8134;5;30/03/2023 00:00;03/04/2024 00:00;1;261;260;256;1032;0;8;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8255015;-49.3640432;9659;11;Parque Residencial Comendador Mancor Daud;M;F;52;23;1;538
Impressa;R;33606;5;01/04/2023 00:00;10/04/2024 00:00;1;261;255;261;1032;0;1;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,816963;-49,371918;9659;11;Vila Ercília;M;F;51;26;1;667
Impressa;R;56968;5;01/04/2023 00:00;02/04/2024 00:00;1;261;262;135;1032;0;12;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;51;Jardim Caparroz;F;F;78;26;1;681
Combo;I;81323;12;01/04/2023 00:00;05/04/2024 00:00;1;104;104;96;458,8;181,2;12;38,23333333;468;226;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20,870852;-49,421166;9659;22;Loteamento Parque dos Pássaros;M;F;52;20;1;690
Combo;R;480;12;01/04/2023 00:00;05/04/2024 00:00;1;104;105;60;640;0;12;53,33333333;468;226;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/02;2024/04;11 de R$ 50 a R$ 54.99;Anual;São José do Rio Preto;FALSO;;;9659;43;RESIDENCIAL FRATERNIDADE;M;F;52;18;1;734
Impressa;R;24745;5;01/04/2023 00:00;03/04/2024 00:00;1;261;257;260;1128;0;10;94;1251,75;230;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Tanabi;2023/01;2024/04;03 de R$ 90 a R$ 94.99;Anual;Tanabi;VERDADEIRO;-20.6247224;-49.6535338;9715;386;A DEFINIR;M;F;52;18;1;734
Impressa;R;67249;5;01/04/2023 00:00;06/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;Olímpia;2023/01;2024/04;04 de R$ 85 a R$ 89.99;Anual;Olímpia;VERDADEIRO;;;9425;347;A DEFINIR;M;F;86;26;1;770
Combo;I;42509;12;01/04/2023 00:00;06/04/2024 00:00;1;104;100;77;578,8;121,2;12;48,23333333;468;238;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;General Salgado;2023/03;2024/04;12 de R$ 45 a R$ 49.99;Anual;General Salgado;VERDADEIRO;-20.6463688;-50.3717438;9154;307;A DEFINIR;M;F;86;26;1;770
Impressa;R;41446;5;02/04/2023 00:00;06/04/2024 00:00;1;261;258;184;1032;0;11;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;51;Centro;M;F;74;23;1;777
Impressa;R;160003;5;02/04/2023 00:00;02/04/2024 00:00;1;261;261;252;816;216;12;68;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;08 de R$ 65 a R$ 69.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;43;Vila Elvira;M;F;86;24;1;778
Impressa;R;37188;5;02/04/2023 00:00;06/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8169461;-49.3585731;9659;11;Vila Dório;M;F;86;24;1;778
Impressa;R;48862;5;02/04/2023 00:00;05/04/2024 00:00;1;261;259;192;1128;0;12;94;1251,75;230;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Olímpia;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Olímpia;FALSO;;;9425;347;JD PRIMAVERA;M;F;83;15;1;790
